,,,,,,,PDV,PDV,PDV,PNRSV,PNRSV,PNRSV,PLMVd,PLMVd,PLMVd
Sample Name ,Location,Cultivar,Block,Tree Number,Row,Tree,Y1,Y2,Y3,Y1,Y2,Y3,Y1,Y2,Y3
AP B-1 5422,Edgefield,Augustprince,B-1,5422,8,2,-,-,-,-,-,-,-,-,-
AP B-1 5423,Edgefield,Augustprince,B-1,5423,8,3,-,-,-,-,-,-,-,-,-
AP B-1 5424,Edgefield,Augustprince,B-1,5424,8,4,-,-,-,-,-,-,-,-,-
AP B-1 5425,Edgefield,Augustprince,B-1,5425,8,5,-,-,-,-,-,-,-,-,-
AP B-1 5426,Edgefield,Augustprince,B-1,5426,8,6,-,-,-,-,-,-,-,-,-
AP B-1 5427,Edgefield,Augustprince,B-1,5427,8,7,-,-,-,-,-,-,-,-,-
AP B-1 5429,Edgefield,Augustprince,B-1,5429,8,9,-,-,-,-,-,-,-,-,-
AP B-1 5430,Edgefield,Augustprince,B-1,5430,8,10,-,-,-,-,-,-,-,-,-
BR-CR2 301,Edgefield,Big Red,CR2,301,5,1,-,-,-,-,-,-,-,-,-
BR-CR2 302,Edgefield,Big Red,CR2,302,5,2,-,-,-,-,-,-,-,-,-
BR-CR2 303,Edgefield,Big Red,CR2,303,5,3,-,-,-,-,-,-,-,-,-
BR-CR2 304,Edgefield,Big Red,CR2,304,5,4,-,-,-,-,-,-,-,-,-
BR-CR2 306,Edgefield,Big Red,CR2,306,5,6,-,-,-,-,-,-,-,-,-
BR-CR2 307,Edgefield,Big Red,CR2,307,5,7,-,-,-,-,-,-,-,-,-
BR-CR2 309,Edgefield,Big Red,CR2,309,5,9,-,-,-,-,-,-,-,-,-
BR-CR2 310,Edgefield,Big Red,CR2,310,5,10,-,-,-,-,-,-,-,-,-
BR-CR2 311,Edgefield,Big Red,CR2,311,4,10,-,-,-,-,+,+,-,-,-
BR-CR2 312,Edgefield,Big Red,CR2,312,4,9,-,-,-,-,-,-,-,-,-
BR-CR2 313,Edgefield,Big Red,CR2,313,4,8,-,-,-,-,-,-,-,-,-
BR-CR2 314,Edgefield,Big Red,CR2,314,4,7,-,-,-,-,-,-,-,-,-
BR-CR2 315,Edgefield,Big Red,CR2,315,4,6,-,-,-,-,-,-,-,-,-
BR-CR2 316,Edgefield,Big Red,CR2,316,4,5,-,-,-,-,-,-,-,-,-
BR-CR2 317,Edgefield,Big Red,CR2,317,4,4,-,-,-,-,-,-,-,-,-
BR-CR2 318,Edgefield,Big Red,CR2,318,4,3,-,-,-,-,-,-,-,-,-
BR-CR2 319,Edgefield,Big Red,CR2,319,4,2,-,-,-,-,-,-,-,-,-
BR-CR2 320,Edgefield,Big Red,CR2,320,4,1,-,-,-,-,-,-,-,-,-
BR-CR2 321,Edgefield,Big Red,CR2,321,3,1,-,-,-,-,-,-,-,-,-
BR-CR2 322,Edgefield,Big Red,CR2,322,3,2,-,-,-,-,-,-,-,-,-
BR-CR2 325,Edgefield,Big Red,CR2,325,3,5,-,,-,-,,-,-,,-
BR-CR2 326,Edgefield,Big Red,CR2,326,3,6,-,-,-,-,-,-,-,-,-
BR-CR2 327,Edgefield,Big Red,CR2,327,3,7,-,-,-,-,-,-,-,-,-
BR-CR2 329,Edgefield,Big Red,CR2,329,3,9,-,-,-,-,-,-,-,-,-
BR-CR2 330,Edgefield,Big Red,CR2,330,3,10,-,-,-,-,-,-,-,-,-
BR-CR2 331,Edgefield,Big Red,CR2,331,2,10,-,-,-,-,-,-,-,-,-
BR-CR2 332,Edgefield,Big Red,CR2,332,2,9,-,-,-,-,-,-,-,-,-
BR-CR2 333,Edgefield,Big Red,CR2,333,2,8,-,-,-,-,-,-,-,-,-
BR-CR2 334,Edgefield,Big Red,CR2,334,2,7,-,-,-,-,-,-,-,-,-
BR-CR2 335,Edgefield,Big Red,CR2,335,2,6,-,-,-,-,-,-,-,-,-
BR-CR2 336,Edgefield,Big Red,CR2,336,2,5,-,-,-,-,-,-,-,-,-
BR-CR2 337,Edgefield,Big Red,CR2,337,2,4,-,-,-,-,-,-,-,-,-
BR-CR2 338,Edgefield,Big Red,CR2,338,2,3,-,-,-,-,-,-,-,-,-
BR-CR2 341,Edgefield,Big Red,CR2,341,1,1,-,-,-,-,-,-,-,-,-
BR-CR2 342,Edgefield,Big Red,CR2,342,1,2,-,-,-,-,-,-,-,-,-
BR-CR2 343,Edgefield,Big Red,CR2,343,1,3,-,-,-,-,-,-,-,-,-
BR-CR2 344,Edgefield,Big Red,CR2,344,1,4,-,-,-,-,-,-,-,-,-
BR-CR2 345,Edgefield,Big Red,CR2,345,1,5,-,-,-,-,-,-,-,-,-
BR-CR2 346,Edgefield,Big Red,CR2,346,1,6,-,-,-,-,-,-,-,-,-
BR-CR2 347,Edgefield,Big Red,CR2,347,1,7,-,-,-,-,-,-,-,-,-
BR-CR2 348,Edgefield,Big Red,CR2,348,1,8,-,-,-,-,-,-,-,-,-
BR-CR2 349,Edgefield,Big Red,CR2,349,1,9,-,-,-,-,-,-,-,-,-
BR-CR2 350,Edgefield,Big Red,CR2,350,1,10,-,-,-,-,-,-,-,-,-
BP B3-2 7051,Edgefield,Blazeprince,B3-2,7051,1,1,-,-,-,-,-,-,-,-,-
BP B3-2 7052,Edgefield,Blazeprince,B3-2,7052,1,2,-,-,-,-,-,-,-,-,-
BP B3-2 7053,Edgefield,Blazeprince,B3-2,7053,1,3,-,-,-,-,-,-,-,-,-
BP B3-2 7054,Edgefield,Blazeprince,B3-2,7054,1,4,-,-,-,-,-,-,-,-,-
BP B3-2 7055,Edgefield,Blazeprince,B3-2,7055,1,5,-,-,-,-,-,-,-,-,-
BP B3-2 7056,Edgefield,Blazeprince,B3-2,7056,1,6,-,-,-,-,-,-,-,-,-
BP B3-2 7057,Edgefield,Blazeprince,B3-2,7057,1,7,-,-,-,-,-,-,-,-,-
BP B3-2 7058,Edgefield,Blazeprince,B3-2,7058,1,8,-,-,-,-,-,-,-,-,-
BP B3-2 7059,Edgefield,Blazeprince,B3-2,7059,1,9,-,-,-,-,-,-,-,-,-
BP B3-2 7060,Edgefield,Blazeprince,B3-2,7060,1,10,-,-,-,-,-,-,-,-,-
BP B3-2 7061,Edgefield,Blazeprince,B3-2,7061,2,10,-,-,-,-,-,-,-,-,-
BP B3-2 7062,Edgefield,Blazeprince,B3-2,7062,2,9,-,-,-,-,-,-,-,-,-
BP B3-2 7063,Edgefield,Blazeprince,B3-2,7063,2,8,-,-,-,-,-,-,-,-,-
BP B3-2 7065,Edgefield,Blazeprince,B3-2,7065,2,6,-,-,-,-,-,-,-,-,-
BP B3-2 7066,Edgefield,Blazeprince,B3-2,7066,2,5,-,-,-,-,-,-,-,-,-
BP B3-2 7067,Edgefield,Blazeprince,B3-2,7067,2,4,-,-,-,-,-,-,-,-,-
BP B3-2 7068,Edgefield,Blazeprince,B3-2,7068,2,3,-,-,-,-,-,-,-,-,-
BP B3-2 7069,Edgefield,Blazeprince,B3-2,7069,2,2,-,-,-,-,-,-,-,-,-
