,,,,,,,PDV,PDV,PDV,PNRSV,PNRSV,PNRSV,PLMVd,PLMVd,PLMVd
Sample Name ,Location,Cultivar,Block,Tree Number,Row,Tree,Y1,Y2,Y3,Y1,Y2,Y3,Y1,Y2,Y3
CL-B7-1 4867,Edgefield,Clemson Ladies ,B7-1,4867,7,7,-,-,-,-,-,-,-,-,-
CL-B7-1 4868,Edgefield,Clemson Ladies ,B7-1,4868,7,8,-,-,-,-,-,-,-,-,-
CL-B7-1 4869,Edgefield,Clemson Ladies ,B7-1,4869,7,9,-,-,-,-,-,-,-,-,-
CL-B7-1 4870,Edgefield,Clemson Ladies ,B7-1,4870,7,10,-,-,-,-,-,-,-,-,-
CL-B7-1 4871,Edgefield,Clemson Ladies ,B7-1,4871,8,10,-,-,-,-,-,-,-,-,-
CL-B7-1 4872,Edgefield,Clemson Ladies ,B7-1,4872,8,9,-,-,-,-,-,-,-,-,-
CL-B7-1 4873,Edgefield,Clemson Ladies ,B7-1,4873,8,8,-,-,-,-,-,-,-,-,-
CL-B7-1 4874,Edgefield,Clemson Ladies ,B7-1,4874,8,7,-,-,-,-,-,-,-,-,-
CL-B7-1 4875,Edgefield,Clemson Ladies ,B7-1,4875,8,6,-,-,-,-,-,-,-,-,-
CL-B7-1 4876,Edgefield,Clemson Ladies ,B7-1,4876,8,5,-,-,-,-,-,-,-,-,-
CL-B7-1 4877,Edgefield,Clemson Ladies ,B7-1,4877,8,4,-,-,-,-,-,-,-,-,-
CL-B7-1 4878,Edgefield,Clemson Ladies ,B7-1,4878,8,3,-,-,-,-,-,-,-,-,-
CL-B7-1 4879,Edgefield,Clemson Ladies ,B7-1,4879,8,2,-,-,-,-,-,-,-,-,-
CL-B7-1 4880,Edgefield,Clemson Ladies ,B7-1,4880,8,1,-,-,-,-,-,-,-,-,-
CON-B5-1 5101,Edgefield,Coronet-N,B5-1,5101,3,1,-,-,-,-,-,-,-,-,-
CON-B5-1 5102,Edgefield,Coronet-N,B5-1,5102,3,2,-,-,-,-,-,-,-,-,-
CON-B5-1 5103,Edgefield,Coronet-N,B5-1,5103,3,3,-,-,-,-,-,-,-,-,-
CON-B5-1 5104,Edgefield,Coronet-N,B5-1,5104,3,4,-,-,-,-,-,-,-,-,-
CON-B5-1 5105,Edgefield,Coronet-N,B5-1,5105,3,5,-,-,-,-,-,-,-,-,-
CON-B5-1 5106,Edgefield,Coronet-N,B5-1,5106,3,6,-,-,-,-,-,-,-,-,-
CON-B5-1 5107,Edgefield,Coronet-N,B5-1,5107,3,7,-,-,-,-,-,-,-,-,-
CON-B5-1 5108,Edgefield,Coronet-N,B5-1,5108,3,8,-,-,-,-,-,-,-,-,-
CON-B5-1 5109,Edgefield,Coronet-N,B5-1,5109,3,9,-,-,-,-,-,-,-,-,-
CON-B5-1 5111,Edgefield,Coronet-N,B5-1,5111,3,11,-,-,-,-,-,-,-,-,-
CON-B5-1 5112,Edgefield,Coronet-N,B5-1,5112,3,12,-,-,-,-,-,-,-,-,-
CON-B5-1 5113,Edgefield,Coronet-N,B5-1,5113,3,13,-,-,-,-,-,-,-,-,-
CON-B5-1 5114,Edgefield,Coronet-N,B5-1,5114,3,14,-,-,-,-,-,-,-,-,-
CON-B5-1 5115,Edgefield,Coronet-N,B5-1,5115,3,15,-,-,-,-,-,-,-,-,-
CON-B5-1 5116,Edgefield,Coronet-N,B5-1,5116,3,16,-,-,-,-,-,-,-,-,-
CON-B5-1 5117,Edgefield,Coronet-N,B5-1,5117,3,17,-,-,-,-,-,-,-,-,-
CON-B5-1 5118,Edgefield,Coronet-N,B5-1,5118,3,18,-,-,-,-,-,-,-,-,+
CON-B5-1 5119,Edgefield,Coronet-N,B5-1,5119,3,19,-,-,-,-,-,-,-,-,-
CON-B5-1 5120,Edgefield,Coronet-N,B5-1,5120,3,20,-,-,-,-,-,-,-,-,-
CON-B5-1 5121,Edgefield,Coronet-N,B5-1,5121,2,20,-,-,-,-,-,-,-,-,-
CON-B5-1 5122,Edgefield,Coronet-N,B5-1,5122,2,19,-,-,-,-,-,-,-,-,-
CON-B5-1 5123,Edgefield,Coronet-N,B5-1,5123,2,18,-,-,-,-,-,-,-,-,+
CON-B5-1 5124,Edgefield,Coronet-N,B5-1,5124,2,17,-,-,-,-,-,-,-,-,-
CON-B5-1 5125,Edgefield,Coronet-N,B5-1,5125,2,16,-,-,-,-,-,-,-,-,-
CON-B5-1 5126,Edgefield,Coronet-N,B5-1,5126,2,15,-,-,-,-,-,-,-,-,-
CON-B5-1 5127,Edgefield,Coronet-N,B5-1,5127,2,14,-,-,-,-,-,-,-,-,-
CON-B5-1 5128,Edgefield,Coronet-N,B5-1,5128,2,13,-,-,-,-,-,-,-,-,-
CON-B5-1 5129,Edgefield,Coronet-N,B5-1,5129,2,12,-,-,-,-,-,-,-,-,-
CON-B5-1 5130,Edgefield,Coronet-N,B5-1,5130,2,11,-,-,-,-,-,-,-,-,+
CON-B5-1 5131,Edgefield,Coronet-N,B5-1,5131,2,10,-,-,-,-,-,-,-,-,-
CON-B5-1 5132,Edgefield,Coronet-N,B5-1,5132,2,9,-,-,-,-,-,-,-,-,-
CON-B5-1 5133,Edgefield,Coronet-N,B5-1,5133,2,8,-,-,-,-,-,-,-,-,-
CON-B5-1 5134,Edgefield,Coronet-N,B5-1,5134,2,7,-,-,-,-,-,-,-,-,-
CON-B5-1 5135,Edgefield,Coronet-N,B5-1,5135,2,6,-,-,-,-,-,-,-,-,-
CON-B5-1 5136,Edgefield,Coronet-N,B5-1,5136,2,5,-,-,-,-,-,-,+,-,-
CON-B5-1 5137,Edgefield,Coronet-N,B5-1,5137,2,4,-,-,-,-,-,-,-,-,-
CON-B5-1 5138,Edgefield,Coronet-N,B5-1,5138,2,3,-,-,-,-,-,-,-,-,-
CON-B5-1 5139,Edgefield,Coronet-N,B5-1,5139,2,2,-,-,-,-,-,-,-,-,+
CON-B5-1 5140,Edgefield,Coronet-N,B5-1,5140,2,1,-,-,-,-,-,-,+,-,+
CON-B5-1 5141,Edgefield,Coronet-N,B5-1,5141,1,1,-,-,-,-,-,-,-,-,-
CON-B5-1 5142,Edgefield,Coronet-N,B5-1,5142,1,2,-,-,-,-,-,-,-,-,-
CON-B5-1 5143,Edgefield,Coronet-N,B5-1,5143,1,3,-,-,-,-,-,-,-,-,-
CON-B5-1 5144,Edgefield,Coronet-N,B5-1,5144,1,4,-,-,-,-,-,-,-,-,-
CON-B5-1 5145,Edgefield,Coronet-N,B5-1,5145,1,5,-,-,-,-,-,-,-,-,-
CON-B5-1 5146,Edgefield,Coronet-N,B5-1,5146,1,6,-,-,-,-,-,-,-,-,-
CON-B5-1 5147,Edgefield,Coronet-N,B5-1,5147,1,7,-,-,-,-,-,-,+,-,+
CON-B5-1 5148,Edgefield,Coronet-N,B5-1,5148,1,8,-,-,-,-,-,-,-,-,-
CON-B5-1 5149,Edgefield,Coronet-N,B5-1,5149,1,9,-,-,-,-,-,-,-,-,-
CON-B5-1 5150,Edgefield,Coronet-N,B5-1,5150,1,10,-,-,-,-,-,-,-,-,+
CH - Belue 801,Upstate,Cresthaven,Belue,801,1,1,-,-,-,+,-,-,-,+,+
CH - Belue 802,Upstate,Cresthaven,Belue,802,1,2,-,-,-,-,-,-,-,+,+
CH - Belue 803,Upstate,Cresthaven,Belue,803,1,3,-,-,-,-,+,-,-,+,+
CH - Belue 804,Upstate,Cresthaven,Belue,804,1,4,-,-,-,-,-,+,-,-,-
CH - Belue 805,Upstate,Cresthaven,Belue,805,1,5,-,-,-,-,-,-,-,-,-
CH - Belue 806,Upstate,Cresthaven,Belue,806,1,6,-,-,-,-,-,-,-,+,+
CH - Belue 807,Upstate,Cresthaven,Belue,807,1,8,-,-,-,-,-,-,+,+,+
CH - Belue 808,Upstate,Cresthaven,Belue,808,1,9,-,-,-,-,-,-,-,-,-
CH - Belue 809,Upstate,Cresthaven,Belue,809,1,10,-,-,-,-,-,-,-,-,-
CH - Belue 810,Upstate,Cresthaven,Belue,810,1,11,-,-,-,-,-,-,-,-,-
CH - Belue 811,Upstate,Cresthaven,Belue,811,1,12,-,-,-,-,-,-,-,-,-
CH - Belue 812,Upstate,Cresthaven,Belue,812,1,13,-,-,-,+,+,+,-,-,-
CH - Belue 813,Upstate,Cresthaven,Belue,813,1,14,-,-,-,-,-,-,-,-,-
CH - Belue 814,Upstate,Cresthaven,Belue,814,2,13,-,-,-,-,-,-,-,-,-
CH - Belue 815,Upstate,Cresthaven,Belue,815,2,12,-,-,-,+,-,-,+,-,-
CH - Belue 816,Upstate,Cresthaven,Belue,816,2,11,-,-,-,+,+,+,+,+,+
CH - Belue 817,Upstate,Cresthaven,Belue,817,2,10,-,-,-,-,-,-,-,-,-
CH - Belue 818,Upstate,Cresthaven,Belue,818,2,9,-,-,-,-,-,-,+,-,-
CH - Belue 819,Upstate,Cresthaven,Belue,819,2,8,-,-,-,-,-,-,+,-,-
CH - Belue 820,Upstate,Cresthaven,Belue,820,2,7,-,-,-,-,-,-,+,+,+
CH - Belue 821,Upstate,Cresthaven,Belue,821,2,6,-,-,-,-,-,-,+,+,+
CH - Belue 822,Upstate,Cresthaven,Belue,822,2,5,-,-,-,-,-,+,-,-,-
CH - Belue 823,Upstate,Cresthaven,Belue,823,2,4,-,-,-,-,-,-,+,+,+
CH - Belue 824,Upstate,Cresthaven,Belue,824,2,3,-,-,-,-,-,-,-,-,-
CH - Belue 825,Upstate,Cresthaven,Belue,825,2,2,-,-,-,-,-,-,-,-,-
CH - Belue 826,Upstate,Cresthaven,Belue,826,2,1,-,-,-,-,-,-,-,+,+
CH - Belue 827,Upstate,Cresthaven,Belue,827,3,1,-,-,-,-,-,-,-,-,-
CH - Belue 828,Upstate,Cresthaven,Belue,828,3,2,-,-,-,-,-,-,-,-,-
CH - Belue 829,Upstate,Cresthaven,Belue,829,3,3,-,-,-,-,-,-,-,-,-
CH - Belue 830,Upstate,Cresthaven,Belue,830,3,4,-,,-,-,,-,-,,-
CH - Belue 831,Upstate,Cresthaven,Belue,831,3,5,-,-,-,-,-,-,-,-,+
CH - Belue 832,Upstate,Cresthaven,Belue,832,3,6,-,-,-,-,-,-,+,+,+
CH - Belue 833,Upstate,Cresthaven,Belue,833,3,7,-,-,-,-,-,-,+,+,+
CH - Belue 834,Upstate,Cresthaven,Belue,834,3,8,-,-,-,-,-,-,-,-,+
CH - Belue 836,Upstate,Cresthaven,Belue,836,3,9,-,-,-,-,-,-,-,-,-
CH - Belue 837,Upstate,Cresthaven,Belue,837,3,10,-,-,-,-,-,-,-,-,-
CH - Belue 838,Upstate,Cresthaven,Belue,838,3,11,-,-,-,-,-,-,-,-,-
CH - Belue 839,Upstate,Cresthaven,Belue,839,3,12,-,-,-,-,-,-,+,-,-
CH - Belue 840,Upstate,Cresthaven,Belue,840,4,17,-,-,-,-,-,-,-,-,-
CH - Belue 841,Upstate,Cresthaven,Belue,841,4,16,-,-,-,-,-,-,+,-,-
CH - Belue 842,Upstate,Cresthaven,Belue,842,4,13,-,-,-,-,-,-,-,-,-
CH - Belue 843,Upstate,Cresthaven,Belue,843,4,12,-,-,-,-,-,-,-,-,-
CH - Belue 844,Upstate,Cresthaven,Belue,844,4,11,-,-,-,-,-,-,-,-,-
CH - Belue 845,Upstate,Cresthaven,Belue,845,4,10,-,-,-,-,-,-,-,-,-
CH - Belue 848,Upstate,Cresthaven,Belue,848,4,4,-,-,-,-,-,+,-,-,-
CH - Belue 849,Upstate,Cresthaven,Belue,849,4,3,-,-,-,-,-,-,-,-,-
CH - Belue 850,Upstate,Cresthaven,Belue,850,4,2,-,-,-,-,-,-,-,-,-
EAP-B7-3 4701,Edgefield,Early Augustprince,B7-3,4701,5,1,-,-,-,-,-,-,-,-,-
EAP-B7-3 4702,Edgefield,Early Augustprince,B7-3,4702,5,2,-,-,-,-,-,-,-,-,-
EAP-B7-3 4703,Edgefield,Early Augustprince,B7-3,4703,5,3,-,-,-,-,-,-,-,-,-
EAP-B7-3 4704,Edgefield,Early Augustprince,B7-3,4704,5,4,-,-,-,-,-,-,-,-,-
EAP-B7-3 4705,Edgefield,Early Augustprince,B7-3,4705,5,5,-,-,-,-,-,-,-,-,-
EAP-B7-3 4706,Edgefield,Early Augustprince,B7-3,4706,5,6,-,-,-,-,-,-,-,-,-
EAP-B7-3 4707,Edgefield,Early Augustprince,B7-3,4707,5,7,-,-,-,-,-,-,-,-,-
EAP-B7-3 4708,Edgefield,Early Augustprince,B7-3,4708,5,8,-,-,-,-,-,-,-,-,-
EAP-B7-3 4709,Edgefield,Early Augustprince,B7-3,4709,5,9,-,-,-,-,-,-,-,-,-
EAP-B7-3 4710,Edgefield,Early Augustprince,B7-3,4710,5,10,+,-,-,-,-,-,+,-,-
EAP-B7-3 4711,Edgefield,Early Augustprince,B7-3,4711,4,10,-,-,-,-,-,-,-,-,-
EAP-B7-3 4712,Edgefield,Early Augustprince,B7-3,4712,4,9,-,-,-,-,-,-,-,-,-
EAP-B7-3 4713,Edgefield,Early Augustprince,B7-3,4713,4,8,-,-,-,-,-,-,-,-,-
EAP-B7-3 4714,Edgefield,Early Augustprince,B7-3,4714,4,7,-,-,-,-,-,-,-,-,-
EAP-B7-3 4715,Edgefield,Early Augustprince,B7-3,4715,4,6,-,-,-,-,-,-,-,-,-
EAP-B7-3 4716,Edgefield,Early Augustprince,B7-3,4716,4,5,-,-,-,-,-,-,-,-,-
EAP-B7-3 4717,Edgefield,Early Augustprince,B7-3,4717,4,4,-,-,-,-,-,-,-,-,-
EAP-B7-3 4718,Edgefield,Early Augustprince,B7-3,4718,4,3,-,-,-,-,-,-,-,-,-
EAP-B7-3 4719,Edgefield,Early Augustprince,B7-3,4719,4,2,-,-,-,-,-,-,-,-,-
EAP-B7-3 4720,Edgefield,Early Augustprince,B7-3,4720,4,1,-,-,-,-,-,-,-,-,-
EAP-B7-3 4721,Edgefield,Early Augustprince,B7-3,4721,3,1,-,-,-,-,-,-,-,-,-
EAP-B7-3 4722,Edgefield,Early Augustprince,B7-3,4722,3,2,-,-,-,-,-,-,-,-,-
EAP-B7-3 4723,Edgefield,Early Augustprince,B7-3,4723,3,3,-,-,-,-,-,-,-,-,-
EAP-B7-3 4724,Edgefield,Early Augustprince,B7-3,4724,3,4,-,-,-,-,-,-,-,-,-
EAP-B7-3 4725,Edgefield,Early Augustprince,B7-3,4725,3,5,-,-,-,-,-,-,-,-,-
EAP-B7-3 4726,Edgefield,Early Augustprince,B7-3,4726,3,6,-,-,-,-,-,-,-,-,-
EAP-B7-3 4727,Edgefield,Early Augustprince,B7-3,4727,3,7,-,-,-,-,-,-,-,-,-
EAP-B7-3 4728,Edgefield,Early Augustprince,B7-3,4728,3,8,-,-,-,-,-,-,-,-,-
EAP-B7-3 4729,Edgefield,Early Augustprince,B7-3,4729,3,9,-,-,-,-,-,-,-,-,-
EAP-B7-3 4730,Edgefield,Early Augustprince,B7-3,4730,3,10,-,-,-,-,-,-,-,-,-
EAP-B7-3 4731,Edgefield,Early Augustprince,B7-3,4731,2,10,-,-,-,-,-,-,-,-,-
EAP-B7-3 4732,Edgefield,Early Augustprince,B7-3,4732,2,9,-,-,-,-,-,-,-,-,-
EAP-B7-3 4733,Edgefield,Early Augustprince,B7-3,4733,2,8,-,-,-,-,-,-,-,-,-
EAP-B7-3 4734,Edgefield,Early Augustprince,B7-3,4734,2,7,-,-,-,-,-,-,-,-,-
EAP-B7-3 4735,Edgefield,Early Augustprince,B7-3,4735,2,6,-,-,-,-,-,-,-,-,-
EAP-B7-3 4736,Edgefield,Early Augustprince,B7-3,4736,2,5,-,-,-,-,-,-,-,-,-
EAP-B7-3 4737,Edgefield,Early Augustprince,B7-3,4737,2,4,-,-,-,-,-,-,-,-,-
EAP-B7-3 4738,Edgefield,Early Augustprince,B7-3,4738,2,3,-,-,-,-,-,-,-,-,-
EAP-B7-3 4739,Edgefield,Early Augustprince,B7-3,4739,2,2,-,-,-,-,-,-,-,-,-
EAP-B7-3 4740,Edgefield,Early Augustprince,B7-3,4740,2,1,-,-,-,-,-,-,-,-,-
EAP-B7-3 4741,Edgefield,Early Augustprince,B7-3,4741,1,1,-,-,-,-,-,-,-,-,-
EAP-B7-3 4742,Edgefield,Early Augustprince,B7-3,4742,1,2,-,-,-,-,-,-,-,-,-
EAP-B7-3 4744,Edgefield,Early Augustprince,B7-3,4744,1,3,-,-,-,-,-,-,+,-,-
EAP-B7-3 4745,Edgefield,Early Augustprince,B7-3,4745,1,4,-,-,-,-,-,-,-,-,-
EAP-B7-3 4746,Edgefield,Early Augustprince,B7-3,4746,1,5,-,-,-,-,-,-,+,-,-
EAP-B7-3 4747,Edgefield,Early Augustprince,B7-3,4747,1,6,-,-,-,-,-,-,-,-,-
EAP-B7-3 4748,Edgefield,Early Augustprince,B7-3,4748,1,7,-,-,-,-,-,-,-,-,-
EAP-B7-3 4749,Edgefield,Early Augustprince,B7-3,4749,1,8,-,-,-,-,-,-,-,-,-
EAP-B7-3 4750,Edgefield,Early Augustprince,B7-3,4750,1,10,-,-,-,-,-,-,-,-,-
FLP-EN-3  4901,Edgefield,Flameprince,EN-3,4901,1,1,-,-,-,-,-,-,-,-,-
FLP-EN-3  4902,Edgefield,Flameprince,EN-3,4902,1,2,-,-,-,-,-,-,-,-,-
FLP-EN-3  4903,Edgefield,Flameprince,EN-3,4903,1,3,-,-,-,-,-,-,-,-,-
FLP-EN-3  4904,Edgefield,Flameprince,EN-3,4904,1,4,-,-,-,-,-,-,-,-,-
FLP-EN-3  4905,Edgefield,Flameprince,EN-3,4905,1,5,-,-,-,-,-,-,-,-,-
FLP-EN-3  4906,Edgefield,Flameprince,EN-3,4906,1,6,-,-,-,-,-,-,-,-,-
FLP-EN-3  4907,Edgefield,Flameprince,EN-3,4907,1,7,-,-,-,-,-,-,-,-,-
FLP-EN-3  4911,Edgefield,Flameprince,EN-3,4911,1,10,-,-,-,-,-,-,-,-,-
FLP-EN-3  4912,Edgefield,Flameprince,EN-3,4912,2,9,-,-,-,-,-,-,-,-,-
FLP-EN-3  4913,Edgefield,Flameprince,EN-3,4913,2,8,-,-,-,-,-,-,-,-,-
FLP-EN-3  4914,Edgefield,Flameprince,EN-3,4914,2,7,-,-,-,-,-,-,-,-,-
FLP-EN-3  4915,Edgefield,Flameprince,EN-3,4915,2,6,-,-,-,-,-,-,-,-,-
FLP-EN-3  4916,Edgefield,Flameprince,EN-3,4916,2,5,-,-,-,-,-,-,-,-,-
FLP-EN-3  4917,Edgefield,Flameprince,EN-3,4917,2,4,-,-,-,-,-,-,-,-,-
FLP-EN-3  4918,Edgefield,Flameprince,EN-3,4918,2,3,-,-,-,-,-,-,-,-,-
FLP-EN-3  4919,Edgefield,Flameprince,EN-3,4919,2,2,-,-,-,-,-,-,-,-,-
FLP-EN-3  4920,Edgefield,Flameprince,EN-3,4920,2,1,-,-,-,-,-,-,-,-,-
FLP-EN-3  4921,Edgefield,Flameprince,EN-3,4921,3,1,-,-,-,-,-,-,-,-,-
FLP-EN-3  4922,Edgefield,Flameprince,EN-3,4922,3,2,-,-,-,-,-,-,-,-,-
FLP-EN-3  4923,Edgefield,Flameprince,EN-3,4923,3,3,-,-,-,-,-,-,-,-,-
FLP-EN-3  4924,Edgefield,Flameprince,EN-3,4924,3,4,-,-,-,-,-,-,-,-,-
FLP-EN-3  4925,Edgefield,Flameprince,EN-3,4925,3,5,-,-,-,-,-,-,-,-,-
FLP-EN-3  4926,Edgefield,Flameprince,EN-3,4926,3,6,-,-,-,-,-,-,-,-,-
FLP-EN-3  4927,Edgefield,Flameprince,EN-3,4927,3,7,-,-,-,-,-,-,-,-,-
FLP-EN-3  4928,Edgefield,Flameprince,EN-3,4928,3,8,-,-,-,-,-,-,-,-,-
FLP-EN-3  4929,Edgefield,Flameprince,EN-3,4929,3,9,-,-,-,-,-,-,-,-,-
FLP-EN-3  4930,Edgefield,Flameprince,EN-3,4930,3,10,-,-,-,-,-,-,-,-,-
FLP-EN-3  4931,Edgefield,Flameprince,EN-3,4931,4,10,-,-,-,-,-,-,-,-,-
FLP-EN-3  4932,Edgefield,Flameprince,EN-3,4932,4,9,-,-,-,-,-,-,-,-,-
FLP-EN-3  4933,Edgefield,Flameprince,EN-3,4933,4,8,-,-,-,-,-,-,-,-,-
FLP-EN-3  4935,Edgefield,Flameprince,EN-3,4935,4,6,-,-,-,-,-,-,-,-,-
FLP-EN-3  4937,Edgefield,Flameprince,EN-3,4937,4,4,-,-,-,-,-,-,-,-,-
FLP-EN-3  4938,Edgefield,Flameprince,EN-3,4938,4,3,-,-,-,-,-,-,-,-,-
FLP-EN-3  4939,Edgefield,Flameprince,EN-3,4939,4,2,-,-,-,-,-,-,-,-,-
FLP-EN-3  4940,Edgefield,Flameprince,EN-3,4940,4,1,-,-,-,-,-,-,-,-,-
FLP-EN-3  4941,Edgefield,Flameprince,EN-3,4941,5,1,-,-,-,-,-,-,-,-,-
FLP-EN-3  4942,Edgefield,Flameprince,EN-3,4942,5,2,-,-,-,-,-,-,-,-,-
FLP-EN-3  4943,Edgefield,Flameprince,EN-3,4943,5,3,-,-,-,-,-,-,-,-,-
FLP-EN-3  4944,Edgefield,Flameprince,EN-3,4944,5,4,-,-,-,-,-,-,-,-,-
FLP-EN-3  4945,Edgefield,Flameprince,EN-3,4945,5,5,-,-,-,-,-,-,-,-,-
FLP-EN-3  4946,Edgefield,Flameprince,EN-3,4946,5,6,-,-,-,-,-,-,-,-,-
FLP-EN-3  4947,Edgefield,Flameprince,EN-3,4947,5,7,-,-,-,-,-,-,-,-,-
FLP-EN-3  4949,Edgefield,Flameprince,EN-3,4949,5,9,-,-,-,-,-,-,-,-,-
FLP-EN-3  4950,Edgefield,Flameprince,EN-3,4950,5,10,-,-,-,-,-,-,-,-,-
GC - Brooks 101,South Georgia,Gulf Crimson,Brooks,101,1,2,-,-,-,-,-,-,-,-,-
GC - Brooks 102,South Georgia,Gulf Crimson,Brooks,102,1,3,-,-,-,-,-,-,-,-,-
GC - Brooks 103,South Georgia,Gulf Crimson,Brooks,103,1,4,-,-,-,-,-,-,-,-,-
GC - Brooks 105,South Georgia,Gulf Crimson,Brooks,105,1,6,-,-,-,-,-,-,-,-,-
GC - Brooks 106,South Georgia,Gulf Crimson,Brooks,106,1,7,-,-,-,-,-,-,-,-,-
GC - Brooks 107,South Georgia,Gulf Crimson,Brooks,107,1,8,-,-,-,-,-,-,-,-,-
GC - Brooks 110,South Georgia,Gulf Crimson,Brooks,110,2,10,-,-,-,-,-,-,-,-,-
GC - Brooks 111,South Georgia,Gulf Crimson,Brooks,111,2,9,-,-,-,-,-,-,-,-,-
GC - Brooks 112,South Georgia,Gulf Crimson,Brooks,112,2,8,-,-,-,-,-,-,-,-,-
GC - Brooks 113,South Georgia,Gulf Crimson,Brooks,113,2,7,-,-,-,-,-,-,-,-,-
GC - Brooks 114,South Georgia,Gulf Crimson,Brooks,114,2,6,-,-,-,-,-,-,-,-,-
GC - Brooks 115,South Georgia,Gulf Crimson,Brooks,115,2,5,-,-,-,-,-,-,-,-,-
GC - Brooks 116,South Georgia,Gulf Crimson,Brooks,116,2,4,-,-,-,-,-,-,-,-,-
GC - Brooks 120,South Georgia,Gulf Crimson,Brooks,120,3,1,-,-,-,-,-,-,-,-,-
GC - Brooks 122,South Georgia,Gulf Crimson,Brooks,122,3,4,-,-,-,-,-,-,-,-,-
GC - Brooks 123,South Georgia,Gulf Crimson,Brooks,123,3,5,-,-,-,-,-,-,-,-,-
GC - Brooks 124,South Georgia,Gulf Crimson,Brooks,124,3,6,-,-,-,-,-,-,-,-,-
GC - Brooks 125,South Georgia,Gulf Crimson,Brooks,125,3,7,-,-,-,-,-,-,-,-,-
GC - Brooks 127,South Georgia,Gulf Crimson,Brooks,127,3,9,-,-,-,-,-,-,-,-,-
GC - Brooks 130,South Georgia,Gulf Crimson,Brooks,130,4,8,-,-,-,-,-,-,-,-,-
GC - Brooks 131,South Georgia,Gulf Crimson,Brooks,131,4,4,-,-,-,-,-,-,-,-,-
GC - Brooks 132,South Georgia,Gulf Crimson,Brooks,132,4,3,-,-,-,-,-,-,-,-,-
GC - Brooks 134,South Georgia,Gulf Crimson,Brooks,134,5,1,-,-,-,-,-,-,-,-,-
GC - Brooks 135,South Georgia,Gulf Crimson,Brooks,135,5,3,-,-,-,-,-,-,-,-,-
GC - Brooks 136,South Georgia,Gulf Crimson,Brooks,136,5,4,-,-,-,-,-,-,-,-,-
GC - Brooks 137,South Georgia,Gulf Crimson,Brooks,137,5,5,-,-,-,-,-,-,-,-,-
GC - Brooks 139,South Georgia,Gulf Crimson,Brooks,139,5,7,-,-,-,-,-,-,-,-,-
GC - Brooks 141,South Georgia,Gulf Crimson,Brooks,141,5,10,-,-,-,-,-,-,-,-,-
GC - Brooks 145,South Georgia,Gulf Crimson,Brooks,145,6,8,-,-,-,-,-,-,-,-,-
GC - Brooks 146,South Georgia,Gulf Crimson,Brooks,146,6,7,-,-,-,-,-,-,-,-,-
GC - Brooks 147,South Georgia,Gulf Crimson,Brooks,147,6,6,-,-,-,-,-,-,-,-,-
GC - Brooks 148,South Georgia,Gulf Crimson,Brooks,148,6,3,-,-,-,-,-,-,-,-,-
GK - Lawson 101,South Georgia,Gulf King,Lawson,101,4,1,-,-,-,-,-,-,-,-,-
GK - Lawson 102,South Georgia,Gulf King,Lawson,102,4,2,-,-,-,-,-,-,-,-,-
GK - Lawson 103,South Georgia,Gulf King,Lawson,103,4,3,-,-,-,-,-,-,-,-,-
GK - Lawson 104,South Georgia,Gulf King,Lawson,104,4,4,-,-,-,-,-,-,-,-,-
GK - Lawson 105,South Georgia,Gulf King,Lawson,105,4,5,-,-,-,-,-,-,-,-,-
GK - Lawson 106,South Georgia,Gulf King,Lawson,106,4,6,-,-,-,-,-,-,-,-,-
GK - Lawson 107,South Georgia,Gulf King,Lawson,107,4,7,-,-,-,-,-,-,-,-,-
GK - Lawson 108,South Georgia,Gulf King,Lawson,108,4,8,-,-,-,-,-,-,-,-,-
GK - Lawson 109,South Georgia,Gulf King,Lawson,109,4,9,-,-,-,-,-,-,-,-,-
GK - Lawson 110,South Georgia,Gulf King,Lawson,110,4,10,-,-,-,-,-,-,-,-,-
GK - Lawson 112,South Georgia,Gulf King,Lawson,112,4,11,-,-,-,-,-,-,-,-,-
GK - Lawson 113,South Georgia,Gulf King,Lawson,113,3,12,-,-,-,-,-,-,-,-,-
GK - Lawson 114,South Georgia,Gulf King,Lawson,114,3,11,-,-,-,-,-,-,-,-,-
GK - Lawson 115,South Georgia,Gulf King,Lawson,115,3,10,-,-,-,-,-,-,-,-,-
GK - Lawson 116,South Georgia,Gulf King,Lawson,116,3,9,-,-,-,-,-,-,-,-,-
GK - Lawson 117,South Georgia,Gulf King,Lawson,117,3,8,-,-,-,-,-,-,-,-,-
GK - Lawson 118,South Georgia,Gulf King,Lawson,118,3,7,-,-,-,-,-,-,-,-,-
GK - Lawson 119,South Georgia,Gulf King,Lawson,119,3,6,-,-,-,-,-,-,-,-,-
GK - Lawson 120,South Georgia,Gulf King,Lawson,120,3,5,-,-,-,-,-,-,-,-,-
GK - Lawson 121,South Georgia,Gulf King,Lawson,121,3,4,-,-,-,-,-,-,-,-,-
GK - Lawson 122,South Georgia,Gulf King,Lawson,122,3,3,-,-,-,-,-,-,-,-,-
GK - Lawson 123,South Georgia,Gulf King,Lawson,123,3,2,-,-,-,-,-,-,-,-,-
GK - Lawson 124,South Georgia,Gulf King,Lawson,124,3,1,-,-,-,-,-,-,-,-,-
GK - Lawson 125,South Georgia,Gulf King,Lawson,125,2,1,-,-,-,-,-,-,-,-,-
GK - Lawson 126,South Georgia,Gulf King,Lawson,126,2,2,-,-,-,-,-,-,-,-,-
